channel_name,total_views,avg_views,total_likes,total_comments
MrBeast,4687603603857,102967679.38181219,197197836023,2900031123
Stokes Twins,1338132193375,81025261.48198608,42258943321,128332107
ISSEI / いっせい,794849527308,56925411.96791521,25970653315,53147162
Celine Dept,775181184544,49617946.90802023,23749610873,53159126
Mr DegrEE,591513923087,58398057.36864448,8563512723,7394708
Marusya Outdoors,521336448924,107959504.85069373,10798063316,42249824
Cool Items Official,507484277647,80835342.09095253,7607696893,13337674
CRAZY GREAPA,428993263074,41751169.15562044,10060944420,20979078
Zack D. Films,391565303300,39031629.116826154,18586599796,95265576
Red Bull,390755367779,32522294.446858093,14017921889,51401608
Mark Rober,377487930148,33296985.988180295,18758312187,50587899
Daniel LaBelle,376167603430,59211018.956398554,10317324839,40039638
Justin Flom,358895347606,46416884.06699431,11769835076,57652690
Noel Robinson,344005115717,91248041.30424403,8964460553,36407075
BEN EAGLE,328509337683,38959836.062974386,6714139544,10488037
Mini Katana,328157468396,46037804.20819304,9861948522,27143080
dednahype,326114531834,47051584.451594286,5485125264,11686876
Andrey Grechka,321079928082,43619063.72530906,7528824419,20648191
Jaymondy,318792746925,49052584.53992922,6655407321,19709145
好人小丑,312773963797,54225721.878814146,5149660534,4283898
Rockstar Games,302671423076,111440141.04418263,20486655594,1609580431
PANDA BOI,294865223496,50378476.59251666,12893195499,17490982
LKCJ,291106637671,108258325.64931202,9650913406,22864718
albert_cancook,287500065913,66658953.37653606,10313717158,16044860
Jojo Sim,286700491754,58943357.6796875,9329713302,14931008
Bamboo Art,281716834929,101592800.19076812,5248238853,6963724
火影忍者一家,276202366253,58393734.9372093,4875408261,3881221
That Little Puff,270147721368,64244404.605945304,6320583330,14001047
Jason Derulo,268806384013,30366740.173181202,5320267077,28879688
Fabiosa Best Lifehacks,250790751776,28153429.70094297,4227891356,18641606
超人夫妇,245050806380,52060931.88442745,6513589177,9078452
路飞与唐舞桐,241534943719,48258730.01378621,4094612353,3842684
LE FOOT EN VIDÉO,230110302510,47553275.98884067,5602858387,8592208
Topper Guild,228402875159,35117293.22862854,9928490790,26311257
Alan Chikin Chow,223438204747,35761556.45758643,9469655461,24937597
Oscar's Funny World,214738666420,56214310.581151836,3848969535,14661296
